date,France,,,
20/02/2022,59003,0.000875545,,
21/02/2022,17195,0.000255157,,
22/02/2022,97382,0.001445051,,
23/02/2022,66833,0.000991735,,
24/02/2022,66805,0.000991319,,
25/02/2022,58138,0.00086271,,
26/02/2022,53623,0.000795712,,
27/02/2022,42600,0.000632141,,
28/02/2022,13483,0.000200074,,
01/03/2022,79794,0.001184063,,
02/03/2022,57697,0.000856166,,
03/03/2022,60282,0.000894524,,
04/03/2022,57789,0.000857531,,
05/03/2022,53678,0.000796528,,
06/03/2022,45328,0.000672622,,
07/03/2022,14496,0.000215106,,
08/03/2022,93050,0.001380769,,
09/03/2022,69190,0.00102671,,
10/03/2022,74818,0.001110224,,
11/03/2022,72399,0.001074329,,
12/03/2022,70524,0.001046505,,
13/03/2022,59036,0.000876035,,
14/03/2022,22158,0.000328802,,
15/03/2022,116618,0.001730494,,
16/03/2022,108832,0.001614958,,
17/03/2022,101747,0.001509823,,
18/03/2022,97579,0.001447974,,
19/03/2022,98104,0.001455765,,
20/03/2022,81283,0.001206158,,
21/03/2022,24231,0.000359564,,
22/03/2022,180777,0.002682549,,
23/03/2022,154054,0.002286007,,
24/03/2022,140141,0.002079552,,
25/03/2022,143571,0.00213045,,
26/03/2022,139517,0.002070292,,
27/03/2022,110174,0.001634872,,
28/03/2022,29582,0.000438967,,
29/03/2022,217480,0.003227185,,
30/03/2022,169024,0.002508147,,
31/03/2022,169697,0.002518133,,
01/04/2022,148629,0.002205505,,
02/04/2022,132114,0.001960439,,
03/04/2022,102266,0.001517525,,
04/04/2022,32038,0.000475412,,
05/04/2022,209627,0.003110654,,
06/04/2022,150954,0.002240006,,
07/04/2022,159024,0.002359757,,
08/04/2022,148768,0.002207568,,
09/04/2022,141690,0.002102537,,
10/04/2022,107654,0.001597477,,
11/04/2022,25492,0.000378276,,
12/04/2022,190762,0.002830717,,
13/04/2022,146426,0.002172815,,
14/04/2022,137564,0.002041312,,
15/04/2022,125394,0.001860721,,
16/04/2022,111583,0.00165578,,
17/04/2022,86650,0.001285799,,
18/04/2022,19810,0.000293961,,
19/04/2022,25465,0.000377875,,
20/04/2022,155711,0.002310595,,
21/04/2022,104007,0.00154336,,
22/04/2022,88389,0.001311604,,
23/04/2022,80571,0.001195593,,
24/04/2022,58954,0.000874818,,
